file,n_clusters,vector_size,window,epochs,NMI,running_time,iteration
adult_tx,2,150,5,20,0.1749734774110805,0.192979,3
adult_tx,2,150,5,20,0.1749305540655402,0.204401,1
adult_tx,2,150,10,10,0.1742752755180875,0.160263,3
adult_tx,2,150,5,20,0.1742267539358668,0.20355,2
adult_tx,2,200,10,5,0.1735612521290126,0.196449,1
adult_tx,2,200,10,5,0.1735612521290125,0.207904,3
adult_tx,2,200,10,5,0.1733956802043561,0.188397,2
adult_tx,2,100,5,5,0.1728994685307002,0.088641,1
adult_tx,2,100,5,5,0.1728994685307002,0.085749,2
adult_tx,2,100,5,5,0.1728994685307002,0.104053,3
adult_tx,2,300,10,10,0.1723911471811322,0.245949,1
adult_tx,2,300,10,10,0.1723911471811322,0.369312,2
adult_tx,2,300,10,10,0.1723911471811322,0.301045,3
adult_tx,2,500,5,10,0.1720929912470496,0.406343,2
adult_tx,2,500,5,10,0.1720741491279396,0.462476,1
adult_tx,2,500,5,10,0.1720741491279396,0.395137,3
adult_tx,2,200,5,50,0.1716269638174847,0.176572,1
adult_tx,2,200,5,50,0.1716269638174847,0.199481,2
adult_tx,2,200,5,50,0.1716269638174847,0.183392,3
adult_tx,2,50,10,20,0.1713400931583187,0.062382,3
adult_tx,2,100,10,10,0.1712187171984799,0.096827,2
adult_tx,2,100,10,10,0.1711999123246541,0.099899,1
adult_tx,2,100,10,10,0.1711999123246541,0.114949,3
adult_tx,2,500,10,10,0.1710017908988909,0.655419,1
adult_tx,2,500,10,10,0.1710017908988909,0.457168,3
adult_tx,2,200,10,10,0.1709470651831069,0.171802,1
adult_tx,2,50,10,20,0.1708300871224012,0.057774,2
adult_tx,2,50,5,5,0.1705818835279095,0.2487,1
adult_tx,2,50,5,5,0.1705818835279095,0.061145,2
adult_tx,2,50,5,5,0.1705588554837921,0.05316,3
