dataset,k,seed,NMI,AE_time(s),KMeans_time(s),type
adult_tx.data,4,42,0.1256,4.96,0.56,run
adult_tx.data,8,42,0.1117,4.96,0.04,run
adult_tx.data,16,42,0.0974,4.96,0.07,run
adult_tx.data,4,43,0.0961,4.91,0.02,run
adult_tx.data,8,43,0.1127,4.91,0.04,run
adult_tx.data,16,43,0.0854,4.91,0.06,run
adult_tx.data,4,44,0.1123,5.57,0.03,run
adult_tx.data,8,44,0.1147,5.57,0.04,run
adult_tx.data,16,44,0.0943,5.57,0.07,run
adult_tx.data,4,45,0.1006,5.58,0.03,run
adult_tx.data,8,45,0.0941,5.58,0.04,run
adult_tx.data,16,45,0.0883,5.58,0.07,run
adult_tx.data,4,46,0.1103,5.60,0.03,run
adult_tx.data,8,46,0.1008,5.60,0.05,run
adult_tx.data,16,46,0.0821,5.60,0.07,run
letrecog_tx.data,4,42,0.1292,2.38,0.52,run
letrecog_tx.data,8,42,0.1944,2.38,0.03,run
letrecog_tx.data,16,42,0.2550,2.38,0.07,run
letrecog_tx.data,4,43,0.1126,2.24,0.01,run
letrecog_tx.data,8,43,0.1939,2.24,0.02,run
letrecog_tx.data,16,43,0.2625,2.24,0.52,run
letrecog_tx.data,4,44,0.1287,2.24,0.01,run
letrecog_tx.data,8,44,0.1845,2.24,0.02,run
letrecog_tx.data,16,44,0.2532,2.24,0.04,run
letrecog_tx.data,4,45,0.1207,2.24,0.01,run
letrecog_tx.data,8,45,0.2029,2.24,0.02,run
letrecog_tx.data,16,45,0.2671,2.24,0.04,run
letrecog_tx.data,4,46,0.1119,2.24,0.01,run
letrecog_tx.data,8,46,0.1917,2.24,0.52,run
letrecog_tx.data,16,46,0.2616,2.24,0.56,run
connect_tx.data,4,42,0.0029,7.82,0.54,run
connect_tx.data,8,42,0.0029,7.82,0.06,run
connect_tx.data,16,42,0.0029,7.82,0.11,run
connect_tx.data,4,43,0.0028,7.75,0.03,run
connect_tx.data,8,43,0.0027,7.75,0.05,run
connect_tx.data,16,43,0.0035,7.75,0.15,run
connect_tx.data,4,44,0.0015,7.85,0.03,run
connect_tx.data,8,44,0.0034,7.85,0.05,run
connect_tx.data,16,44,0.0033,7.85,0.08,run
connect_tx.data,4,45,0.0042,7.85,0.03,run
connect_tx.data,8,45,0.0026,7.85,0.06,run
connect_tx.data,16,45,0.0027,7.85,0.08,run
connect_tx.data,4,46,0.0041,8.09,0.03,run
connect_tx.data,8,46,0.0028,8.09,0.05,run
connect_tx.data,16,46,0.0032,8.09,0.08,run
chessBig_tx.data,4,42,0.1012,3.02,0.02,run
chessBig_tx.data,8,42,0.0723,3.02,0.02,run
chessBig_tx.data,16,42,0.0961,3.02,0.05,run
chessBig_tx.data,4,43,0.0952,2.99,0.02,run
chessBig_tx.data,8,43,0.0913,2.99,0.02,run
chessBig_tx.data,16,43,0.1003,2.99,0.05,run
chessBig_tx.data,4,44,0.0305,2.98,0.02,run
chessBig_tx.data,8,44,0.0553,2.98,0.56,run
chessBig_tx.data,16,44,0.0591,2.98,0.07,run
chessBig_tx.data,4,45,0.0698,2.97,0.02,run
chessBig_tx.data,8,45,0.0747,2.97,0.02,run
chessBig_tx.data,16,45,0.0823,2.97,0.05,run
chessBig_tx.data,4,46,0.1071,2.98,0.02,run
chessBig_tx.data,8,46,0.0992,2.98,0.03,run
chessBig_tx.data,16,46,0.1071,2.98,0.05,run
pendigits_tx.data,4,42,0.4162,1.32,0.01,run
pendigits_tx.data,8,42,0.5937,1.32,0.11,run
pendigits_tx.data,16,42,0.6503,1.32,0.50,run
pendigits_tx.data,4,43,0.3864,1.30,0.01,run
pendigits_tx.data,8,43,0.5832,1.30,0.47,run
pendigits_tx.data,16,43,0.6518,1.30,0.48,run
pendigits_tx.data,4,44,0.3763,1.31,0.01,run
pendigits_tx.data,8,44,0.5755,1.31,0.02,run
pendigits_tx.data,16,44,0.6212,1.31,0.51,run
pendigits_tx.data,4,45,0.3962,1.31,0.06,run
pendigits_tx.data,8,45,0.5840,1.31,0.51,run
pendigits_tx.data,16,45,0.6474,1.31,0.51,run
pendigits_tx.data,4,46,0.3861,1.34,0.01,run
pendigits_tx.data,8,46,0.6197,1.34,0.01,run
pendigits_tx.data,16,46,0.6341,1.34,0.54,run

dataset,k,repeats,NMI_mean,NMI_std,AE_mean(s),AE_std(s),KM_mean(s),KM_std(s),type
adult_tx.data,4,5,0.1090,0.0102,5.32,0.32,0.13,0.21,mean/std
adult_tx.data,8,5,0.1068,0.0080,5.32,0.32,0.04,0.00,mean/std
adult_tx.data,16,5,0.0895,0.0056,5.32,0.32,0.07,0.00,mean/std
letrecog_tx.data,4,5,0.1206,0.0075,2.27,0.06,0.11,0.20,mean/std
letrecog_tx.data,8,5,0.1935,0.0059,2.27,0.06,0.12,0.20,mean/std
letrecog_tx.data,16,5,0.2599,0.0051,2.27,0.06,0.25,0.24,mean/std
connect_tx.data,4,5,0.0031,0.0010,7.87,0.11,0.13,0.20,mean/std
connect_tx.data,8,5,0.0029,0.0003,7.87,0.11,0.05,0.00,mean/std
connect_tx.data,16,5,0.0031,0.0003,7.87,0.11,0.10,0.03,mean/std
chessBig_tx.data,4,5,0.0808,0.0282,2.99,0.02,0.02,0.00,mean/std
chessBig_tx.data,8,5,0.0786,0.0154,2.99,0.02,0.13,0.22,mean/std
chessBig_tx.data,16,5,0.0890,0.0170,2.99,0.02,0.05,0.01,mean/std
pendigits_tx.data,4,5,0.3922,0.0135,1.32,0.01,0.02,0.02,mean/std
pendigits_tx.data,8,5,0.5912,0.0154,1.32,0.01,0.22,0.22,mean/std
pendigits_tx.data,16,5,0.6410,0.0117,1.32,0.01,0.51,0.02,mean/std
