filename,elbow_k,elbow_inertia,iteration
adult_tx,92,453.79053,1
adult_tx,120,419.7671,2
adult_tx,96,436.5061,3
adult_tx,96,480.43134,4
adult_tx,120,399.01825,5
adult_tx,96,507.21228,6
adult_tx,108,601.5735,7
adult_tx,96,556.6138,8
adult_tx,88,450.5658,9
adult_tx,96,502.04483,10
adult_tx,100,478.99594,11
adult_tx,120,414.74356,12
adult_tx,120,432.71466,13
adult_tx,108,421.4599,14
adult_tx,96,476.07544,15
adult_tx,120,423.52252,16
adult_tx,124,378.79184,17
adult_tx,120,383.79056,18
adult_tx,120,384.99713,19
adult_tx,92,426.84586,20
P50.O0_tx,44,2912.4207,1
P50.O0_tx,44,2904.6208,2
P50.O0_tx,44,2928.2434,3
P50.O0_tx,44,2916.9094,4
P50.O0_tx,44,2928.671,5
P50.O0_tx,44,2930.3809,6
P50.O0_tx,44,2907.641,7
P50.O0_tx,44,2902.3472,8
P50.O0_tx,44,2896.2922,9
P50.O0_tx,44,2908.6704,10
P50.O0_tx,44,2896.2676,11
P50.O0_tx,44,2896.9055,12
P50.O0_tx,44,2898.8984,13
P50.O0_tx,44,2917.5056,14
P50.O0_tx,44,2932.1628,15
P50.O0_tx,44,2908.6492,16
P50.O0_tx,44,2899.4316,17
P50.O0_tx,44,2899.42,18
P50.O0_tx,44,2903.2976,19
P50.O0_tx,44,2896.9648,20
letrecog_tx,96,429.64548,1
letrecog_tx,112,397.9799,2
letrecog_tx,104,441.94025,3
letrecog_tx,120,434.11295,4
letrecog_tx,116,382.826,5
letrecog_tx,116,375.80243,6
letrecog_tx,116,414.1978,7
letrecog_tx,120,404.56,8
letrecog_tx,116,438.67334,9
letrecog_tx,116,393.1281,10
letrecog_tx,112,444.92307,11
letrecog_tx,120,434.68713,12
letrecog_tx,104,426.33145,13
letrecog_tx,104,379.27432,14
letrecog_tx,112,398.37595,15
letrecog_tx,120,423.32877,16
letrecog_tx,108,452.8271,17
letrecog_tx,116,451.44287,18
letrecog_tx,120,443.6223,19
letrecog_tx,104,432.45752,20
P50.O30_tx,48,3169.8784,1
P50.O30_tx,48,3196.4558,2
P50.O30_tx,48,3200.97,3
P50.O30_tx,48,3180.15,4
P50.O30_tx,48,3179.239,5
P50.O30_tx,48,3172.494,6
P50.O30_tx,48,3173.544,7
P50.O30_tx,48,3174.7058,8
P50.O30_tx,48,3173.7717,9
P50.O30_tx,48,3178.6848,10
P50.O30_tx,48,3173.5886,11
P50.O30_tx,48,3178.6436,12
P50.O30_tx,48,3174.5872,13
P50.O30_tx,48,3181.6357,14
P50.O30_tx,48,3188.5532,15
P50.O30_tx,48,3193.8525,16
P50.O30_tx,48,3181.9084,17
P50.O30_tx,48,3176.5193,18
P50.O30_tx,48,3187.8577,19
P50.O30_tx,48,3186.0322,20
connect_tx,100,381.94626,1
connect_tx,100,318.545,2
connect_tx,100,409.83572,3
connect_tx,100,420.8408,4
connect_tx,100,435.43454,5
connect_tx,100,363.3608,6
connect_tx,112,294.65878,7
connect_tx,100,306.24298,8
connect_tx,100,507.6233,9
connect_tx,100,433.27347,10
connect_tx,100,311.11646,11
connect_tx,104,317.33856,12
connect_tx,100,299.15103,13
connect_tx,100,300.8135,14
connect_tx,100,319.62766,15
connect_tx,100,298.83722,16
connect_tx,100,325.77374,17
connect_tx,100,367.6576,18
connect_tx,100,293.61993,19
connect_tx,112,325.41208,20
P0.O30_tx,52,1058.31,1
P0.O30_tx,48,1158.2401,2
P0.O30_tx,40,1231.7897,3
P0.O30_tx,40,1229.5454,4
P0.O30_tx,40,1224.4501,5
P0.O30_tx,40,1150.8179,6
P0.O30_tx,48,1158.1012,7
P0.O30_tx,40,1233.66,8
P0.O30_tx,48,1152.2925,9
P0.O30_tx,52,1121.8765,10
P0.O30_tx,40,1144.4875,11
P0.O30_tx,48,1162.8817,12
P0.O30_tx,48,1162.1865,13
P0.O30_tx,48,1182.2589,14
P0.O30_tx,48,1158.2947,15
P0.O30_tx,40,1246.8335,16
P0.O30_tx,52,1127.5596,17
P0.O30_tx,48,1163.5721,18
P0.O30_tx,40,1231.9047,19
P0.O30_tx,48,1177.5413,20
P0.O0_tx,36,970.45447,1
P0.O0_tx,36,969.7908,2
P0.O0_tx,36,975.39886,3
