filename,nmi,deltak,nclusters,running_time,iteration
db201610,0.5904631673095976,-2927,27,687.986859,1
db201610,0.45799161658836246,-2941,13,354.233561,2
db201610,0.5842609766997491,-2935,19,499.216294,3
db201610,0.4733430498352429,-2948,6,182.315411,4
db201610,0.34021057894193213,-2948,6,174.682026,5
db201610,0.26084103459490104,-2950,4,129.706787,6
db201610,0.4467473303370984,-2946,8,231.005316,7
db201610,0.2183199122107554,-2952,2,83.091687,8
db201610,0.46474081131320133,-2944,10,277.511269,9
db201610,0.0,-2953,1,53.244936,10
db201610,0.5933636476413982,-2934,20,522.559313,11
db201610,0.3857397545219266,-2949,5,162.832422,12
db201610,0.47727878887615466,-2943,11,310.148378,13
db201610,0.4003848151553904,-2949,5,166.685927,14
db201610,0.46085187746535283,-2947,7,213.308613,15
db201610,0.0,-2953,1,54.218878,16
db201610,0.6130077765367891,-2926,28,708.817315,17
db201610,0.5901365928487354,-2937,17,447.902594,18
db201610,0.5361966448283149,-2939,15,403.715526,19
db201610,0.336941488458764,-2951,3,109.189756,20
