filename,nmi,deltak,nclusters,running_time,iteration
adult_tx,0.12164896900931013,2,4,0.319319,1
adult_tx,0.11176238176762966,3,5,0.340778,2
adult_tx,0.11088162850578337,2,4,0.293404,3
adult_tx,0.12226634867814677,3,5,0.343494,4
adult_tx,0.0809826491972681,5,7,0.450407,5
adult_tx,0.08835772937955372,2,4,0.32234,6
adult_tx,0.1117344621153311,2,4,0.339002,7
adult_tx,0.0867436146931203,2,4,0.321002,8
adult_tx,0.12526247437111093,0,2,0.197897,9
adult_tx,0.10961995367715519,2,4,0.312639,10
adult_tx,0.10764119074350545,3,5,0.429638,11
adult_tx,0.09999537940230556,3,5,0.385584,12
adult_tx,0.0910527659772694,3,5,0.366597,13
adult_tx,0.10499485163557783,3,5,0.388092,14
adult_tx,0.07232401612380665,4,6,0.425439,15
adult_tx,0.09069002778900269,2,4,0.309238,16
adult_tx,0.054343273846304475,3,5,0.374844,17
adult_tx,0.10810288951114097,2,4,0.328386,18
adult_tx,0.13291468417693478,1,3,0.272872,19
adult_tx,0.13875445340458634,1,3,0.29243,20
adult_tx,0.10350368720024217,2.4,4.4,0.34067010000000003,avg
db201610-sep_w2v,0.5904631673095976,-2927,27,687.986859,1
db201610-sep_w2v,0.45799161658836246,-2941,13,354.233561,2
db201610-sep_w2v,0.5842609766997491,-2935,19,499.216294,3
db201610-sep_w2v,0.4733430498352429,-2948,6,182.315411,4
db201610-sep_w2v,0.34021057894193213,-2948,6,174.682026,5
db201610-sep_w2v,0.26084103459490104,-2950,4,129.706787,6
db201610-sep_w2v,0.4467473303370984,-2946,8,231.005316,7
db201610-sep_w2v,0.2183199122107554,-2952,2,83.091687,8
db201610-sep_w2v,0.46474081131320133,-2944,10,277.511269,9
db201610-sep_w2v,0.0,-2953,1,53.244936,10
db201610-sep_w2v,0.5933636476413982,-2934,20,522.559313,11
db201610-sep_w2v,0.3857397545219266,-2949,5,162.832422,12
db201610-sep_w2v,0.47727878887615466,-2943,11,310.148378,13
db201610-sep_w2v,0.4003848151553904,-2949,5,166.685927,14
db201610-sep_w2v,0.46085187746535283,-2947,7,213.308613,15
db201610-sep_w2v,0.0,-2953,1,54.218878,16
db201610-sep_w2v,0.6130077765367891,-2926,28,708.817315,17
db201610-sep_w2v,0.5901365928487354,-2937,17,447.902594,18
db201610-sep_w2v,0.5361966448283149,-2939,15,403.715526,19
db201610-sep_w2v,0.336941488458764,-2951,3,109.189756,20
db201610-sep_w2v,0.41154099320818327,-2943.6,10.4,288.6186434,avg
P50.O0_tx,0.9647460358522911,0,6,3.396322,1
P50.O0_tx,0.9576668319414591,0,6,3.547066,2
P50.O0_tx,0.9648017511143339,0,6,3.621772,3
P50.O0_tx,0.8052813683273412,-1,5,4.30949,4
P50.O0_tx,0.8046668168538139,-1,5,3.495135,5
P50.O0_tx,0.9089768858960549,2,8,3.802264,6
P50.O0_tx,0.796334073018493,-1,5,3.229595,7
P50.O0_tx,0.975678191528481,0,6,4.117192,8
P50.O0_tx,0.9710723794912411,0,6,3.34703,9
P50.O0_tx,0.8003499785413324,-1,5,3.075074,10
P50.O0_tx,0.9650464654068397,0,6,3.747288,11
P50.O0_tx,0.8024865643945215,-1,5,3.908644,12
P50.O0_tx,0.9654689488192727,0,6,3.241451,13
P50.O0_tx,0.9629292241091197,0,6,3.339227,14
P50.O0_tx,0.939623974500582,1,7,3.512936,15
P50.O0_tx,0.9380776300395127,0,6,3.915943,16
P50.O0_tx,0.9678281734232601,0,6,3.261893,17
P50.O0_tx,0.8513799004084395,4,10,4.557655,18
P50.O0_tx,0.7996343981921551,-1,5,3.248868,19
P50.O0_tx,0.9618255559091264,0,6,3.810245,20
P50.O0_tx,0.9051937573883835,0.05,6.05,3.6242544999999993,avg
