ID;CLASS;EVENTS
0;0;2 6 9 12 15 18 20 24 27 30 33 36 39 42 45 48 51 54 55 60 63 66 69 72 73 77 79 82 87 90 93 96 99 102 105 108 110 114 117 120 123 126
1;0;1 5 8 12 15 18 20 24 27 30 33 36 37 42 45 48 51 54 55 58 62 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
2;1;1 4 9 12 15 18 20 22 27 30 33 36 37 41 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 95 99 102 105 108 111 114 117 120 123 126
3;0;3 6 9 12 15 18 21 24 27 30 33 36 38 41 43 47 51 54 55 58 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 117 120 123 126
4;0;2 4 8 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 55 59 61 66 69 72 75 78 81 84 87 90 91 95 99 102 105 108 111 114 117 120 123 126
5;0;1 5 8 10 15 18 19 23 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 91 95 99 102 105 108 111 114 117 120 123 126
6;1;3 6 9 12 15 18 19 22 25 29 33 36 39 42 45 48 51 54 56 58 62 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
7;0;1 4 9 12 15 18 20 22 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 95 99 102 105 108 110 112 117 120 123 126
8;0;2 5 9 12 15 18 21 24 27 30 33 36 37 41 45 48 51 54 57 60 63 66 69 72 73 76 81 84 87 90 92 94 99 102 105 108 111 114 117 120 123 126
9;2;2 6 9 12 15 18 19 23 25 30 33 36 37 41 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 110 114 117 120 123 126
10;0;2 5 9 12 15 18 19 23 25 30 33 36 38 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 91 94 99 102 105 108 111 114 117 120 123 126
11;1;1 4 9 12 15 18 20 24 27 30 33 36 37 41 44 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
12;0;3 6 9 12 15 18 21 24 27 30 33 36 37 41 45 48 51 54 56 58 63 66 69 72 73 76 80 84 87 90 93 96 99 102 105 108 110 114 117 120 123 126
13;0;2 5 9 12 15 18 20 24 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 73 76 79 83 87 90 93 96 99 102 105 108 111 114 117 120 123 126
14;1;1 6 9 12 15 18 20 23 27 30 33 36 37 41 43 46 50 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
15;0;1 4 8 12 15 18 20 23 27 30 33 36 38 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
16;0;3 6 9 12 15 18 19 24 27 30 33 36 37 41 45 48 51 54 56 60 63 66 69 72 74 77 79 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
17;0;3 6 9 12 15 18 21 24 27 30 33 36 37 41 43 48 51 54 57 60 63 66 69 72 74 76 80 83 87 90 93 96 99 102 105 108 109 114 117 120 123 126
18;1;3 6 9 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 116 118 122 124
19;2;1 5 7 12 15 18 20 24 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 113 115 120 123 126
20;0;2 6 9 12 15 18 19 23 26 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 91 94 99 102 105 108 109 113 117 120 123 126
21;0;3 6 9 12 15 18 20 22 25 30 33 36 37 42 45 48 51 54 56 59 63 66 69 72 73 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
22;0;3 6 9 12 15 18 19 22 27 30 33 36 39 42 45 48 51 54 56 58 62 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 113 115 120 123 126
23;1;1 4 8 12 15 18 20 23 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 115 120 123 126
24;0;2 4 9 12 15 18 19 24 27 30 33 36 38 40 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 91 96 99 102 105 108 110 114 117 120 123 126
25;0;1 6 9 12 15 18 21 24 27 30 33 36 38 41 43 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 113 117 120 123 126
26;1;3 6 9 12 15 18 19 23 27 30 33 36 37 41 44 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 91 94 99 102 105 108 111 114 117 120 123 126
27;0;3 6 9 12 15 18 21 24 27 30 33 36 38 40 43 47 50 54 55 60 63 66 69 72 74 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
28;0;3 6 9 12 15 18 20 23 25 30 33 36 38 42 45 48 51 54 55 58 61 65 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
29;0;1 4 8 12 15 18 20 22 26 30 33 36 39 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
30;2;1 5 9 12 15 18 19 24 27 30 33 36 39 42 45 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 109 113 115 120 123 126
31;1;3 6 9 12 15 18 19 23 25 30 33 36 37 40 44 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
32;0;3 6 9 12 15 18 20 23 27 30 33 36 37 40 45 48 51 54 56 60 63 66 69 72 73 78 81 84 87 90 93 96 99 102 105 108 109 113 117 120 123 126
33;0;2 6 9 12 15 18 19 22 26 30 33 36 37 42 45 48 51 54 56 58 62 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
34;0;2 6 9 12 15 18 19 22 25 29 32 36 38 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
35;1;2 5 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 55 58 62 65 67 72 75 78 81 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
36;0;3 6 9 12 15 18 20 24 27 30 33 36 37 41 43 46 49 53 56 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
37;0;3 6 9 12 15 18 19 22 27 30 33 36 38 41 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 110 112 116 120 123 126
38;1;1 6 9 12 15 18 21 24 27 30 33 36 37 41 43 47 51 54 56 58 62 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
39;0;1 5 9 12 15 18 20 22 26 28 33 36 39 42 45 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
40;2;1 6 9 12 15 18 21 24 27 30 33 36 38 40 44 46 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 116 120 123 126
41;0;2 6 9 12 15 18 21 24 27 30 33 36 38 42 45 48 51 54 55 60 63 66 69 72 73 77 81 84 87 90 92 94 99 102 105 108 109 114 117 120 123 126
42;0;3 6 9 12 15 18 21 24 27 30 33 36 37 40 43 47 50 54 57 60 63 66 69 72 74 76 81 84 87 90 93 96 99 102 105 108 110 114 117 120 123 126
43;1;1 5 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 55 59 62 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 115 120 123 126
44;0;3 6 9 12 15 18 19 22 25 29 32 36 39 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 91 96 99 102 105 108 110 114 117 120 123 126
45;0;3 6 9 12 15 18 19 24 27 30 33 36 38 40 44 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 91 94 99 102 105 108 110 114 117 120 123 126
