file,n_clusters,vector_size,window,epochs,NMI,running_time,iteration
letrecog_tx,2,50,5,5,0.0134800591696504,0.020192,1
letrecog_tx,2,50,5,5,0.013361646260336,0.020487,2
letrecog_tx,2,50,5,5,0.0134800591696504,0.018997,3
letrecog_tx,4,50,5,5,0.0640175120512399,0.034195,1
letrecog_tx,4,50,5,5,0.0638775368751495,0.036019,2
letrecog_tx,4,50,5,5,0.0645790296731507,0.034509,3
letrecog_tx,8,50,5,5,0.1285968760368344,0.058928,1
letrecog_tx,8,50,5,5,0.1453880945671242,0.071174,2
letrecog_tx,8,50,5,5,0.1313107754519131,0.055946,3
letrecog_tx,10,50,5,5,0.1425981619077645,0.067068,1
letrecog_tx,10,50,5,5,0.1676047467406961,0.066928,2
letrecog_tx,10,50,5,5,0.1743384222040558,0.066648,3
letrecog_tx,16,50,5,5,0.1975619898426385,0.077652,1
letrecog_tx,16,50,5,5,0.1974649229096437,0.082544,2
letrecog_tx,16,50,5,5,0.1921324661487447,0.110485,3
letrecog_tx,20,50,5,5,0.2126687936998421,0.099263,1
letrecog_tx,20,50,5,5,0.2156693758796982,0.106871,2
letrecog_tx,20,50,5,5,0.2139868715576666,0.112925,3
letrecog_tx,50,50,5,5,0.277040394132456,0.358803,1
letrecog_tx,50,50,5,5,0.2844222405229764,0.352782,2
letrecog_tx,50,50,5,5,0.2835320704172426,0.337707,3
letrecog_tx,100,50,5,5,0.3290877529602132,0.725385,1
letrecog_tx,100,50,5,5,0.332720482942394,0.643056,2
letrecog_tx,100,50,5,5,0.3304759750907909,0.663649,3
letrecog_tx,2,50,5,10,0.0134805011726301,0.022623,1
letrecog_tx,2,50,5,10,0.0134090127840393,0.021443,2
letrecog_tx,2,50,5,10,0.0134805011726301,0.02292,3
letrecog_tx,4,50,5,10,0.0227469811549235,0.035853,1
letrecog_tx,4,50,5,10,0.0641190454356028,0.031945,2
letrecog_tx,4,50,5,10,0.0227469811549235,0.041829,3
letrecog_tx,8,50,5,10,0.1418558907654133,0.065662,1
letrecog_tx,8,50,5,10,0.1464892165077117,0.062285,2
letrecog_tx,8,50,5,10,0.14163633262241,0.057647,3
letrecog_tx,10,50,5,10,0.1710264499950277,0.061816,1
letrecog_tx,10,50,5,10,0.159165936203029,0.077302,2
letrecog_tx,10,50,5,10,0.1581148443844474,0.072167,3
letrecog_tx,16,50,5,10,0.1984876478956783,0.101993,1
letrecog_tx,16,50,5,10,0.194428939120438,0.091173,2
letrecog_tx,16,50,5,10,0.197178257857356,0.094828,3
letrecog_tx,20,50,5,10,0.2211703315781195,0.103474,1
letrecog_tx,20,50,5,10,0.220510333738589,0.11723,2
letrecog_tx,20,50,5,10,0.2210786240365508,0.094742,3
letrecog_tx,50,50,5,10,0.2908517950001295,0.405942,1
letrecog_tx,50,50,5,10,0.2954751905027577,0.377876,2
letrecog_tx,50,50,5,10,0.2880804969175288,0.365131,3
letrecog_tx,100,50,5,10,0.3392761230619144,0.645735,1
letrecog_tx,100,50,5,10,0.3314321689033475,0.611708,2
letrecog_tx,100,50,5,10,0.337448437907503,0.64828,3
letrecog_tx,2,50,5,20,0.0135572344442629,0.021638,1
letrecog_tx,2,50,5,20,0.013577945505096,0.026689,2
letrecog_tx,2,50,5,20,0.0135866760731806,0.022932,3
letrecog_tx,4,50,5,20,0.0631441291442361,0.038276,1
letrecog_tx,4,50,5,20,0.0242336591454477,0.033518,2
letrecog_tx,4,50,5,20,0.0627444788582766,0.032896,3
letrecog_tx,8,50,5,20,0.1461234197757438,0.050122,1
letrecog_tx,8,50,5,20,0.1411062391404445,0.048812,2
letrecog_tx,8,50,5,20,0.1383546453258431,0.052686,3
letrecog_tx,10,50,5,20,0.1478250453919081,0.060459,1
letrecog_tx,10,50,5,20,0.1566667186778996,0.071051,2
letrecog_tx,10,50,5,20,0.1336003449616647,0.057906,3
letrecog_tx,16,50,5,20,0.1918388212868025,0.093056,1
letrecog_tx,16,50,5,20,0.1963806617189733,0.093602,2
letrecog_tx,16,50,5,20,0.1994261544833424,0.092857,3
letrecog_tx,20,50,5,20,0.2149036116512585,0.128488,1
letrecog_tx,20,50,5,20,0.2133181095795114,0.102922,2
letrecog_tx,20,50,5,20,0.2221643239867593,0.137188,3
letrecog_tx,50,50,5,20,0.2908985432079757,0.35714,1
letrecog_tx,50,50,5,20,0.2832968723747371,0.390074,2
letrecog_tx,50,50,5,20,0.2844818398032829,0.341426,3
letrecog_tx,100,50,5,20,0.3288226321400163,0.657745,1
letrecog_tx,100,50,5,20,0.3342042481306627,0.667094,2
letrecog_tx,100,50,5,20,0.3359057790585326,0.677441,3
letrecog_tx,2,100,5,5,0.0137818129585634,0.036114,1
letrecog_tx,2,100,5,5,0.0137818129585634,0.03473,2
letrecog_tx,2,100,5,5,0.0137818129585634,0.038184,3
letrecog_tx,4,100,5,5,0.0637532432646867,0.083902,1
letrecog_tx,4,100,5,5,0.0229785908594208,0.080568,2
letrecog_tx,4,100,5,5,0.0635191459725526,0.074914,3
letrecog_tx,8,100,5,5,0.1268344734560346,0.132645,1
letrecog_tx,8,100,5,5,0.1369137558856317,0.139039,2
letrecog_tx,8,100,5,5,0.129640258114525,0.161002,3
letrecog_tx,10,100,5,5,0.1522735193438173,0.165366,1
letrecog_tx,10,100,5,5,0.1635173975224869,0.141418,2
letrecog_tx,10,100,5,5,0.1664106219420838,0.217915,3
letrecog_tx,16,100,5,5,0.1931611673463768,0.203089,1
letrecog_tx,16,100,5,5,0.1953336695828667,0.19127,2
letrecog_tx,16,100,5,5,0.1977489216960916,0.211138,3
letrecog_tx,20,100,5,5,0.2134032010852658,0.297203,1
letrecog_tx,20,100,5,5,0.2099737001689609,0.250038,2
letrecog_tx,20,100,5,5,0.2212541662274472,0.230619,3
letrecog_tx,50,100,5,5,0.2742138153847017,0.472772,1
letrecog_tx,50,100,5,5,0.2874435287978985,0.552215,2
letrecog_tx,50,100,5,5,0.2886165952215572,0.509247,3
letrecog_tx,100,100,5,5,0.3435282258990249,1.101403,1
letrecog_tx,100,100,5,5,0.3423050425976049,0.978896,2
letrecog_tx,100,100,5,5,0.3380218444973843,0.995953,3
letrecog_tx,2,100,5,10,0.0136899523180719,0.032962,1
letrecog_tx,2,100,5,10,0.0137120621609212,0.035487,2
letrecog_tx,2,100,5,10,0.0136899523180719,0.029264,3
letrecog_tx,4,100,5,10,0.0821094043659368,0.078807,1
letrecog_tx,4,100,5,10,0.0628111057817355,0.050773,2
letrecog_tx,4,100,5,10,0.0627655192784653,0.064667,3
letrecog_tx,8,100,5,10,0.1425901875435833,0.097801,1
letrecog_tx,8,100,5,10,0.1430083711850135,0.108776,2
letrecog_tx,8,100,5,10,0.142305150661455,0.12679,3
letrecog_tx,10,100,5,10,0.1536932326968226,0.119802,1
letrecog_tx,10,100,5,10,0.1636099323773196,0.148165,2
letrecog_tx,10,100,5,10,0.1633377585618278,0.116517,3
letrecog_tx,16,100,5,10,0.2040390794925341,0.242554,1
letrecog_tx,16,100,5,10,0.1989166863208215,0.201109,2
letrecog_tx,16,100,5,10,0.1972234485887226,0.210824,3
letrecog_tx,20,100,5,10,0.2130811623045637,0.237256,1
letrecog_tx,20,100,5,10,0.207583157638469,0.235985,2
letrecog_tx,20,100,5,10,0.2012078244382531,0.26527,3
letrecog_tx,50,100,5,10,0.290047275283105,0.490431,1
letrecog_tx,50,100,5,10,0.2793055479593529,0.491412,2
letrecog_tx,50,100,5,10,0.2869691690276611,0.550506,3
letrecog_tx,100,100,5,10,0.3417473263030702,0.937329,1
letrecog_tx,100,100,5,10,0.3304932730075771,0.887418,2
letrecog_tx,100,100,5,10,0.3335200066080244,0.885262,3
letrecog_tx,2,100,5,20,0.0137273720945342,0.032488,1
letrecog_tx,2,100,5,20,0.0137328402076036,0.035108,2
letrecog_tx,2,100,5,20,0.0137273720945342,0.031644,3
letrecog_tx,4,100,5,20,0.0831279324932491,0.077897,1
letrecog_tx,4,100,5,20,0.0632864688191063,0.065113,2
letrecog_tx,4,100,5,20,0.0831279324932491,0.080119,3
letrecog_tx,8,100,5,20,0.1278146536983195,0.103434,1
letrecog_tx,8,100,5,20,0.1301920843109071,0.113763,2
letrecog_tx,8,100,5,20,0.1432624732618815,0.115614,3
letrecog_tx,10,100,5,20,0.1600414915708005,0.118614,1
letrecog_tx,10,100,5,20,0.1714907065081868,0.193403,2
letrecog_tx,10,100,5,20,0.1709470312640289,0.157572,3
letrecog_tx,16,100,5,20,0.1984402401608605,0.214339,1
letrecog_tx,16,100,5,20,0.1980902824784907,0.269827,2
letrecog_tx,16,100,5,20,0.1980686120482294,0.198697,3
letrecog_tx,20,100,5,20,0.2186044884456636,0.240238,1
letrecog_tx,20,100,5,20,0.2247283966300525,0.22333,2
letrecog_tx,20,100,5,20,0.2104321623750401,0.240013,3
letrecog_tx,50,100,5,20,0.2951497795718719,0.486418,1
letrecog_tx,50,100,5,20,0.2798138327995405,0.502359,2
letrecog_tx,50,100,5,20,0.2906685085734405,0.482631,3
letrecog_tx,100,100,5,20,0.342895853923118,0.904107,1
