file,n_clusters,vector_size,window,epochs,NMI,running_time,training_time,iteration
P50.O0_tx,8,100,5,10,0.9330076389706732,0.468096,84.23630332946777,median
P50.O0_tx,8,400,5,10,0.9325207091605674,1.940195,172.62227702140808,median
P50.O0_tx,8,200,5,10,0.9325026744379602,0.890433,112.0056836605072,median
P50.O0_tx,8,200,5,5,0.9264391704256446,0.880392,56.35323905944824,median
P50.O0_tx,8,50,5,5,0.9262417785232576,0.219691,41.66448712348938,median
P50.O0_tx,8,50,5,10,0.9256553639229772,0.212679,82.44172024726868,median
P50.O0_tx,8,400,5,5,0.9241088817384052,1.76425,86.06861877441406,median
P50.O0_tx,8,100,5,5,0.9239733526336824,0.534298,42.69924211502075,median
P50.O0_tx,8,200,10,10,0.919803206748988,0.847346,208.40878319740293,median
P50.O0_tx,8,400,10,10,0.9184543783426892,1.705471,308.9803755283356,median
P50.O0_tx,8,100,10,10,0.9170759755198596,0.445346,157.28631591796875,median
P50.O0_tx,8,50,10,10,0.915399373467678,0.235175,153.89300417900083,median
P50.O0_tx,8,200,10,5,0.9130055911231004,0.915829,104.04915022850037,median
P50.O0_tx,8,400,10,5,0.9102709328073018,1.694455,157.18287062644958,median
P50.O0_tx,8,100,10,5,0.908960851215984,0.469447,78.7323317527771,median
P50.O0_tx,8,50,10,5,0.908559634833537,0.201892,77.04330015182495,median
P50.O0_tx,4,200,5,10,0.855006600266108,0.510011,112.0056836605072,median
P50.O0_tx,4,50,5,10,0.8543448564396864,0.150654,82.44172024726868,median
P50.O0_tx,4,400,5,10,0.8368796199504552,0.909316,172.62227702140808,median
P50.O0_tx,4,100,5,10,0.8289719572307966,0.258277,84.23630332946777,median
P50.O0_tx,4,200,5,5,0.8277229001692827,0.479328,56.35323905944824,median
P50.O0_tx,4,100,5,5,0.8276121834851764,0.270016,42.69924211502075,median
P50.O0_tx,4,400,5,5,0.8275507891195317,0.909091,86.06861877441406,median
P50.O0_tx,4,50,5,5,0.8275489869714294,0.145573,41.66448712348938,median
P50.O0_tx,4,400,10,10,0.8083772539317495,0.991515,308.9803755283356,median
P50.O0_tx,4,200,10,10,0.8082837709894087,0.480426,208.40878319740293,median
P50.O0_tx,4,100,10,10,0.8076708120300359,0.259072,157.28631591796875,median
P50.O0_tx,4,50,10,10,0.8073895697626955,0.147837,153.89300417900083,median
P50.O0_tx,4,400,10,5,0.8070914014400924,0.947256,157.18287062644958,median
P50.O0_tx,4,200,10,5,0.8067379372438044,0.509899,104.04915022850037,median
