file,n_clusters,vector_size,window,epochs,NMI,running_time,training_time,iteration
adult_tx,2,400,10,10,0.1747414435523896,0.352157,5.312051773071289,median
adult_tx,2,400,10,5,0.1746435085860779,0.328483,2.508491277694702,median
adult_tx,2,50,5,10,0.171413722620345,0.141831,1.7105135917663574,median
adult_tx,2,50,5,5,0.1708236660928302,0.122454,0.6206965446472168,median
adult_tx,2,200,5,10,0.1705970785800361,0.271446,2.8884525299072266,median
adult_tx,2,100,10,5,0.1704063941691385,0.141561,1.336228370666504,median
adult_tx,2,50,10,10,0.1697051467828987,0.154376,2.205927848815918,median
adult_tx,2,100,5,10,0.1696819175751666,0.188198,1.6146032810211182,median
adult_tx,2,100,5,5,0.1694119823465021,0.136508,0.8506267070770264,median
adult_tx,2,200,5,5,0.1686027305054063,0.226346,1.3615400791168213,median
adult_tx,2,50,10,5,0.1685498055908046,0.131427,1.1637976169586182,median
adult_tx,2,400,5,5,0.1684377582148609,0.490736,2.422663688659668,median
adult_tx,2,100,10,10,0.168362902110457,0.162921,2.3055427074432373,median
adult_tx,2,200,10,10,0.1682917664359924,0.305748,4.433090448379517,median
adult_tx,2,200,10,5,0.1680426148695628,0.200474,1.725786209106445,median
adult_tx,2,400,5,10,0.1676592446373821,0.453769,4.633434534072876,median
adult_tx,4,100,10,5,0.1477774639951486,0.262011,1.336228370666504,median
adult_tx,4,400,10,5,0.1472436046025059,0.54692,2.508491277694702,median
adult_tx,4,50,10,10,0.1466305786236633,0.191694,2.205927848815918,median
adult_tx,4,100,5,5,0.1466074547509682,0.210155,0.8506267070770264,median
adult_tx,4,50,5,5,0.1463425705358415,0.129862,0.6206965446472168,median
adult_tx,4,400,5,5,0.1461361532752411,1.010098,2.422663688659668,median
adult_tx,4,200,10,10,0.146124075911406,0.418204,4.433090448379517,median
adult_tx,4,50,10,5,0.1458655708484713,0.147785,1.1637976169586182,median
adult_tx,4,200,5,5,0.145734585381253,0.317091,1.3615400791168213,median
adult_tx,4,200,5,10,0.1452836377826725,0.424426,2.8884525299072266,median
adult_tx,4,100,10,10,0.145035004667763,0.24242,2.3055427074432373,median
adult_tx,4,100,5,10,0.1449121804416488,0.345378,1.6146032810211182,median
adult_tx,4,200,10,5,0.1347585526315155,0.40949,1.725786209106445,median
adult_tx,4,50,5,10,0.1323709054589638,0.15603,1.7105135917663574,median
