file,n_clusters,vector_size,window,epochs,NMI,running_time,training_time,iteration
chessBig_tx,50,100,10,10,0.1807597380380682,0.776111,0.4877445697784424,median
chessBig_tx,50,100,5,10,0.1780694295965779,0.848297,0.4788389205932617,median
chessBig_tx,50,400,10,10,0.1779399400577588,2.073164,0.5664956569671631,median
chessBig_tx,50,50,10,10,0.1768898586734908,0.486699,0.4828574657440185,median
chessBig_tx,50,200,5,10,0.1768457130792609,1.326347,0.4274830818176269,median
chessBig_tx,50,400,5,10,0.1761116055889611,2.312065,0.4860765933990478,median
chessBig_tx,50,200,10,10,0.1755454277435261,1.176217,0.5270414352416992,median
chessBig_tx,50,400,5,5,0.1729848252789805,2.088331,0.2453207969665527,median
chessBig_tx,50,100,5,5,0.1728600250343757,0.740486,0.2682011127471924,median
chessBig_tx,50,400,10,5,0.1697128987608043,2.362383,0.303654670715332,median
chessBig_tx,50,100,10,5,0.1672687453046885,0.833997,0.2582602500915527,median
chessBig_tx,50,50,10,5,0.1664116605140217,0.531545,0.2509498596191406,median
chessBig_tx,50,200,5,5,0.165616608345053,1.251028,0.259758710861206,median
chessBig_tx,50,50,5,10,0.1644840419445624,1.326474,0.4941635131835937,median
chessBig_tx,50,200,10,5,0.1642579315681882,1.105011,0.2599854469299316,median
chessBig_tx,50,50,5,5,0.1621023111874773,0.885005,0.2602317333221435,median
chessBig_tx,20,100,5,5,0.1430701346198054,0.366862,0.2682011127471924,median
chessBig_tx,20,400,10,10,0.1416400362959798,0.889885,0.5664956569671631,median
chessBig_tx,20,200,10,10,0.1400031426295845,0.557373,0.5270414352416992,median
chessBig_tx,20,400,5,5,0.1396632518450393,0.970853,0.2453207969665527,median
chessBig_tx,16,100,5,5,0.138277966385371,0.333932,0.2682011127471924,median
chessBig_tx,20,100,10,10,0.1371386572177049,0.37266,0.4877445697784424,median
chessBig_tx,20,400,5,10,0.1361146919343956,0.930732,0.4860765933990478,median
chessBig_tx,20,100,5,10,0.1357715082658628,0.447977,0.4788389205932617,median
chessBig_tx,20,200,5,5,0.135302031664287,0.518855,0.259758710861206,median
chessBig_tx,20,50,10,10,0.1349014546542213,0.172073,0.4828574657440185,median
chessBig_tx,20,400,10,5,0.1341478128837554,1.047289,0.303654670715332,median
chessBig_tx,20,200,5,10,0.134131041812004,0.524707,0.4274830818176269,median
chessBig_tx,20,50,10,5,0.1341076932761062,0.205605,0.2509498596191406,median
chessBig_tx,20,50,5,10,0.1335011395872301,0.178355,0.4941635131835937,median
