file,n_clusters,vector_size,window,epochs,NMI,running_time,training_time,iteration
connect_tx,50,200,5,5,0.0040193846173667,3.581137,13.733002662658691,median
connect_tx,50,50,10,10,0.0040133965611854,1.106952,28.083679676055908,median
connect_tx,50,200,10,5,0.0039848699283382,2.48021,21.48406887054444,median
connect_tx,50,50,5,10,0.0039086267753895,1.367843,18.20266366004944,median
connect_tx,50,100,10,5,0.0038880442053319,1.734725,13.703612804412842,median
connect_tx,50,400,5,5,0.003880500343191,6.326599,19.944844961166385,median
connect_tx,50,400,5,10,0.0038749989348171,5.11616,37.46945691108704,median
connect_tx,50,200,10,10,0.0038572172513299,3.564603,39.62685942649841,median
connect_tx,50,50,5,5,0.0038415001415702,1.152537,10.17617678642273,median
connect_tx,50,100,5,10,0.0038338526994379,1.826452,17.700740337371826,median
connect_tx,50,100,10,10,0.0038242538580106,2.785091,25.69413924217224,median
connect_tx,50,50,10,5,0.0037982543635916,1.167106,14.256151914596558,median
connect_tx,50,400,10,5,0.003790120891027,6.154113,30.561611652374268,median
connect_tx,50,100,5,5,0.0037799444649401,2.744225,9.013235092163086,median
connect_tx,50,200,5,10,0.0037750192112341,2.665483,26.77716040611267,median
connect_tx,50,400,10,10,0.003703418853359,5.445336,59.00671982765198,median
connect_tx,20,200,5,5,0.0036363947222109,1.290464,13.733002662658691,median
connect_tx,20,50,10,10,0.0035486892456331,0.304259,28.083679676055908,median
connect_tx,20,400,5,10,0.0035185738627149,2.523235,37.46945691108704,median
connect_tx,20,400,5,5,0.0035115864474775,2.755936,19.944844961166385,median
connect_tx,20,400,10,5,0.0034973203055418,2.721815,30.561611652374268,median
connect_tx,20,100,10,5,0.0034954608436008,0.796966,13.703612804412842,median
connect_tx,20,100,5,5,0.0034802616176221,0.840167,9.013235092163086,median
connect_tx,20,100,10,10,0.0034606391443914,0.920263,25.69413924217224,median
connect_tx,20,200,5,10,0.0034440201296642,1.289204,26.77716040611267,median
connect_tx,20,50,5,10,0.0034136057672368,0.359922,18.20266366004944,median
connect_tx,20,50,5,5,0.0034050177112336,0.33273,10.17617678642273,median
connect_tx,20,400,10,10,0.0033790355795293,2.292796,59.00671982765198,median
connect_tx,20,200,10,5,0.0033671066502504,1.142301,21.48406887054444,median
connect_tx,20,50,10,5,0.0033418976334418,0.299381,14.256151914596558,median
