file,n_clusters,vector_size,window,epochs,NMI,running_time,training_time,iteration
letrecog_tx,50,50,5,10,0.2928806016332818,0.762646,1.6769506931304932,median
letrecog_tx,50,200,5,10,0.2917210039300461,1.218462,1.920837879180908,median
letrecog_tx,50,50,10,5,0.2901443640368428,0.428713,0.6635613441467285,median
letrecog_tx,50,50,10,10,0.2896727518822085,0.45496,1.5675616264343262,median
letrecog_tx,50,400,5,10,0.2890945643975522,1.46176,2.8242669105529785,median
letrecog_tx,50,400,10,10,0.2878241311628878,1.667839,3.407684803009033,median
letrecog_tx,50,200,10,10,0.287345227433785,0.936987,2.3623931407928467,median
letrecog_tx,50,200,10,5,0.2867723996601133,0.846214,1.1503236293792725,median
letrecog_tx,50,100,5,5,0.2866276994314299,0.740842,0.7229006290435791,median
letrecog_tx,50,100,10,5,0.2861294734191361,0.644916,0.7558019161224365,median
letrecog_tx,50,100,10,10,0.2859960472672181,0.591457,1.5268006324768066,median
letrecog_tx,50,100,5,10,0.2859539235110898,0.800935,1.329982042312622,median
letrecog_tx,50,400,10,5,0.2859131514877404,1.847147,1.692462921142578,median
letrecog_tx,50,400,5,5,0.2831913647722215,1.745472,1.3672950267791748,median
letrecog_tx,50,50,5,5,0.2827323990284664,0.994107,0.8465802669525146,median
letrecog_tx,50,200,5,5,0.2792142674539836,1.061829,0.975494623184204,median
letrecog_tx,20,50,5,5,0.2225930790322439,0.206244,0.8465802669525146,median
letrecog_tx,20,100,5,5,0.221019370785742,0.312081,0.7229006290435791,median
letrecog_tx,20,400,5,10,0.2205743927099814,1.110894,2.8242669105529785,median
letrecog_tx,20,200,5,10,0.2204978911439062,0.79309,1.920837879180908,median
letrecog_tx,20,400,10,5,0.2204393129894514,0.831437,1.692462921142578,median
letrecog_tx,20,400,5,5,0.2204285388947091,0.72002,1.3672950267791748,median
letrecog_tx,20,200,10,5,0.2199065444530967,0.462892,1.1503236293792725,median
letrecog_tx,20,400,10,10,0.2182118195941421,0.851679,3.407684803009033,median
letrecog_tx,20,50,5,10,0.2178172170608802,0.197621,1.6769506931304932,median
letrecog_tx,20,100,5,10,0.2176790158087934,0.303306,1.329982042312622,median
letrecog_tx,20,100,10,5,0.215953747104944,0.375739,0.7558019161224365,median
letrecog_tx,20,100,10,10,0.215667380188436,0.412464,1.5268006324768066,median
letrecog_tx,20,50,10,5,0.2156654894529001,0.240799,0.6635613441467285,median
letrecog_tx,20,50,10,10,0.2148622297378912,0.183475,1.5675616264343262,median
