file,n_clusters,vector_size,window,epochs,NMI,running_time,training_time,iteration
pendigits_tx,20,400,5,10,0.6210913930266321,0.517155,1.7160964012145996,median
pendigits_tx,20,400,10,10,0.614169860062329,0.495137,2.060244560241699,median
pendigits_tx,16,100,5,10,0.6130045835404044,0.223329,0.7963616847991943,median
pendigits_tx,20,200,5,10,0.6108400214775426,0.361673,1.1357355117797852,median
pendigits_tx,20,50,5,5,0.6101375949788819,0.166853,0.4169716835021972,median
pendigits_tx,50,50,10,10,0.609790090788889,0.271743,0.9611272811889648,median
pendigits_tx,50,200,5,10,0.6095192448822477,0.532345,1.1357355117797852,median
pendigits_tx,20,400,5,5,0.6095131546049303,0.406008,0.8566820621490479,median
pendigits_tx,20,400,10,5,0.6093532805056445,0.457433,1.0108726024627686,median
pendigits_tx,20,50,10,10,0.6093503984837998,0.144331,0.9611272811889648,median
pendigits_tx,20,100,10,10,0.6093442470721561,0.26139,0.929096221923828,median
pendigits_tx,20,200,5,5,0.6089419880297116,0.30428,0.5620698928833008,median
pendigits_tx,50,100,10,10,0.608611864487497,0.39973,0.929096221923828,median
pendigits_tx,50,400,10,10,0.6085922369864755,0.924472,2.060244560241699,median
pendigits_tx,20,200,10,10,0.6085369678752961,0.355428,1.3751769065856934,median
pendigits_tx,16,200,5,10,0.6083211598155025,0.290663,1.1357355117797852,median
pendigits_tx,20,50,5,10,0.6082389614078269,0.185696,0.8614842891693115,median
pendigits_tx,50,100,5,10,0.6080699803250214,0.405651,0.7963616847991943,median
pendigits_tx,50,200,10,10,0.6080548601479084,0.567802,1.3751769065856934,median
pendigits_tx,16,400,10,10,0.6080399074104089,0.430838,2.060244560241699,median
pendigits_tx,16,200,5,5,0.6078559329202893,0.251598,0.5620698928833008,median
pendigits_tx,20,100,5,10,0.6066986751903696,0.218002,0.7963616847991943,median
pendigits_tx,20,200,10,5,0.6063895330114308,0.308515,0.6930437088012695,median
pendigits_tx,50,400,5,10,0.6061692861473522,0.927153,1.7160964012145996,median
pendigits_tx,50,50,5,10,0.6057701532281934,0.389192,0.8614842891693115,median
pendigits_tx,16,100,10,10,0.6054925425485558,0.251701,0.929096221923828,median
pendigits_tx,16,100,5,5,0.6053754164354115,0.276055,0.4224357604980469,median
pendigits_tx,20,100,5,5,0.6052344224358558,0.223802,0.4224357604980469,median
pendigits_tx,16,50,5,10,0.6046696129465782,0.13655,0.8614842891693115,median
pendigits_tx,16,200,10,10,0.6033614065218588,0.262777,1.3751769065856934,median
